state,map_total,map_goodcondition,map_digitized,CLR_allocation,survey_allocation,total_villages,CLR_completed
ANDAMAN & NICOBAR ISLANDS,1407,714,183,32.91,53.72,205,204
ANDHRA PRADESH,2997619,2705274,2732630,1467.7,2134.94,17563,17065
ARUNACHAL PRADESH,NA,NA,NA,44.82,1106.88,5591,0
ASSAM,17649,16104,15001,2307.5,0,26410,17772
BIHAR,70571,70491,70338,3943.74001,5624.534,46359,30420
CHANDIGARGH,NA,NA,NA,36.85,20.52,16,6
CHATTISGARH,47458,45562,43082,1005.778,6313.44,20495,17349
DADRA & NAGAR HAVELI,2271,2271,2271,5,27.65,72,72
DAMAN & DIU,758,757,0,40.22,16.575,28,22
GOA,14854,14854,14854,0,333.18,425,425
GUJARAT,24967,24966,24966,23.72,14698.74,18854,17861
HARYANA,56095,52616,51512,917.25,3189.55,7089,6583
HIMACHAL PRADESH,148645,148453,148351,2101.7637,2652.163,20950,20693
JAMMU & KASHMIR,NA,NA,NA,0,624.92,6864,0
JHARKHAND,49678,49074,49035,841.07,2892.13,32945,32789
KARNATAKA,29527,29527,29527,96.4,1835.99,29527,29419
KERALA,103917,103917,98150,1394.88,1438.07,1691,728
LAKSHADWEEP,NA,NA,NA,19.98,3.9,24,24
MADHYA PRADESH,114194,111653,111653,1039.67,8849.651,55070,54634
MAHARASTRA,4917952,4318829,630765,401.48,4275.375,44855,44331
MANIPUR,366,366,366,64.53,141.675,2715,423
MEGHALAYA,NA,NA,NA,215.52,566.148,6750,0
MIZORAM,27304,27304,27304,114.1,1753.129,826,206
NAGALAND,1008,1008,1008,73.2,1498.37,1600,512
NCT OF DELHI,14,13,14,38,0,207,196
ODISHA,115232,115232,115232,1801.11,8937.451,51706,51701
PUDUCHERRY,20881,20881,20881,55.93,73.05,130,119
PUNJAB,18445,17952,13080,1629.491,696.048,12838,11971
RAJASTHAN,115410,105880,51739,806.6,15726.595,47918,44940
SIKKIM,2549,2549,2549,282.16,107.5,417,417
TAMILNADU,5332529,5283184,5254139,1570.43,845.28,16786,16749
TELANGANA,18040,17543,15601,2666.805,5474.199,10829,10768
TRIPURA,5303,5303,5303,322.65,1282.2856,898,897
UTTARAKHAND,80728,59826,24681,395.57,412.88,16999,16080
UTTAR PRADESH,102730,81515,25633,331.87,1339.38,109037,104874
WEST BENGAL,66157,64327,61969,903,4989.643,42178,41528
