state,composite_points,infra_points,econ_points
ANDAMAN & NICOBAR ISLANDS,4.12,0.58,0.42
ANDHRA PRADESH,5.05,0.66,0.55
ARUNACHAL PRADESH,3.03,0.38,0.39
ASSAM,4.07,0.49,0.55
BIHAR,4.4,0.57,0.52
CHANDIGARGH,4.68,0.84,0.38
CHATTISGARH,5.05,0.51,0.55
DADRA & NAGAR HAVELI,3.12,0.56,0
DAMAN & DIU,4.33,0.67,0
GOA,4.29,0.68,0.47
GUJARAT,5.04,0.73,0.62
HARYANA,5,0.71,0.54
HIMACHAL PRADESH,5.22,0.64,0.45
JAMMU & KASHMIR,4.04,0.55,0.26
JHARKHAND,4.23,0.53,0.39
KARNATAKA,5.1,0.64,0.68
KERALA,4.98,0.66,0.46
LAKSHADWEEP,2.97,0.54,0
MADHYA PRADESH,4.85,0.58,0.52
MAHARASTRA,5.4,0.73,0.66
MANIPUR,3.93,0.53,0.42
MEGHALAYA,3.81,0.53,0.29
MIZORAM,4.41,0.56,0.39
NAGALAND,3.55,0.48,0.21
NCT OF DELHI,4.39,0.72,0.83
ODISHA,4.44,0.5,0.53
PUDUCHERRY,4.69,0.69,0.19
PUNJAB,4.57,0.73,0.37
RAJASTHAN,4.8,0.57,0.44
SIKKIM,4.21,0.51,0.42
TAMILNADU,5.62,0.74,0.58
TELANGANA,4.83,0.7,0.63
TRIPURA,4.5,0.57,0.55
UTTARAKHAND,4.87,0.64,0.6
UTTAR PRADESH,4.25,0.59,0.47
WEST BENGAL,4.84,0.54,0.49
